dia,coef_regresion,p_value,trades
2017-03-06,-0.00038005891575754007,0.8835517475901784,41
2017-03-07,0.0002093075933540027,0.14553219961685895,195
2017-03-08,0.0005422675970078413,0.13181362181078551,130
2017-03-09,0.0002634712556962586,0.3486386704119796,234
2017-03-10,2.0837661617337533e-05,0.6769212844127342,219
2017-03-13,0.0007894427374412125,0.08011963373858898,115
2017-03-14,1.5834810719341867e-05,0.7447378351717971,414
2017-03-15,0.00019654540238266433,0.5841882999171806,61
2017-03-16,6.994469846685886e-05,0.2666169407273283,130
2017-03-17,2.2704435130528012e-05,0.46303044385842185,340
2017-03-21,-2.0310085392698917e-05,0.6216473679271186,188
2017-03-22,-1.5818813956084947e-05,0.705225725254955,179
2017-03-23,-3.169120471498647e-05,0.37847975835761405,212
2017-03-24,8.330676937483485e-06,0.817368736746846,161
2017-03-27,1.0882003047925483e-05,0.8158341702435163,136
2017-03-28,7.65056925561541e-06,0.7296197872104881,177
2017-03-29,0.00026982671266639435,0.06155562117183886,143
2017-03-30,0.00028676646801931746,0.03662862144080978,131
2017-03-31,8.469045314179091e-05,0.2825473837057941,83
2017-04-03,0.00011775871385707592,0.3359577960628256,80
2017-04-04,0.00023433415759413823,0.09062065384242347,88
2017-04-05,5.743614133463017e-05,0.2944902199215305,185
2017-04-06,4.162105914781186e-05,0.659489060950393,84
2017-04-07,6.088212580365621e-05,0.5167606656011821,61
2017-04-10,2.0344634132687513e-05,0.7863062695058916,135
2017-04-11,5.374841522495497e-05,0.45608044292325234,67
2017-04-12,0.0021395734267940637,0.37548322917449795,21
2017-04-17,-2.4188704144165738e-05,0.9463111664277716,52
2017-04-18,2.0707031664910498e-05,0.6388435235345448,117
2017-04-19,-2.591284560130635e-06,0.9570428387534842,85
2017-04-20,0.00030722375210766637,0.26484306736703356,51
2017-04-21,0.0004578862022962132,0.06441672045582247,281
2017-04-24,0.0005845573305615924,0.0007257498769292443,147
2017-04-25,-8.366683481679952e-05,0.20020901812151196,243
2017-04-26,-0.00013259058894117526,0.19696132790939466,189
2017-04-27,2.330233049728077e-05,0.7910432460043044,168
2017-04-28,-0.000592543340701787,4.495354431635033e-09,192
2017-05-02,-9.317128835994281e-06,0.8490135578512101,220
2017-05-03,4.2654782135570464e-05,0.8215267074794318,135
2017-05-04,0.00038773275770591505,0.03997568332448351,87
2017-05-05,-5.4795304802699634e-05,0.8018785748482976,130
2017-05-08,3.368101292252639e-05,0.2818426568311006,197
2017-05-09,-1.3202706163665849e-05,0.3835141394298567,222
2017-05-10,-6.172092224824074e-06,0.6856456141977464,172
2017-05-11,-3.5706065564307964e-05,0.7639661559977446,162
2017-05-12,0.0006505319120937604,0.007389276046786566,192
2017-05-15,0.0006011418049215455,0.013567133611849372,170
2017-05-16,3.993906074727956e-05,0.15484211711391563,184
2017-05-17,0.00016771321380294242,0.23647568069229444,164
2017-05-18,0.0002006088265579614,0.07092717900326935,454
2017-05-19,0.0003693882190854231,0.040400342181052366,201
2017-05-22,6.522557519047525e-06,0.9471766446082974,111
2017-05-23,-6.598778235876058e-06,0.924312670875715,126
2017-05-24,0.0011554726479510926,0.004237403352793385,115
2017-05-25,0.0008605615940307388,0.010418133795892199,113
2017-05-26,5.75028750531362e-05,0.8470681222641123,81
2017-05-30,0.0005018338083604328,0.4427382715680763,50
2017-05-31,-2.2183528829544223e-05,0.8554132921750687,92
2017-06-01,0.001534113729559839,0.1432351544672516,48
2017-06-02,7.874942319484622e-05,0.14198767127688644,88
2017-06-05,0.00030185180607080137,0.5804698415960996,60
2017-06-06,-0.0024756649500066496,0.0026742782917185434,55
2017-06-07,-0.0006320767325589786,0.19617151774920333,60
2017-06-08,6.7957911459983145e-06,0.9789498241866605,42
2017-06-09,-0.00012022322831579486,0.769311427422137,86
2017-06-12,9.729070949061166e-05,0.46397090660847917,85
2017-06-13,6.155043986345654e-05,0.7869083981782753,97
2017-06-14,6.543783413183216e-05,0.15521843612444786,125
2017-06-15,-5.965785250799984e-05,0.5393645454661593,154
2017-06-16,0.00045222551236541377,0.3714205849530212,107
2017-06-20,0.00014705651682277239,0.2902103280519803,67
2017-06-21,0.0001416492107946751,0.8772447663272376,43
2017-06-22,-0.0005054611370057616,0.8865021362426225,21
2017-06-23,-0.0002915794238818373,0.7257615894244944,38
2017-06-27,7.623975178010429e-05,0.7834021966576877,106
2017-06-28,0.0004487958852472524,0.3740730434856463,47
2017-06-29,8.642300685682366e-06,0.9610064989822599,25
2017-06-30,-0.0007580491173079902,0.0013558278900150415,82
2017-07-04,0.002896592487641961,0.1638414894947143,28
2017-07-05,0.00023227900913329728,0.3182871956059415,98
2017-07-06,1.3169705218420328e-05,0.8234013126800044,161
2017-07-07,7.3489420877684105e-06,0.9079962238030033,256
2017-07-10,1.6388500841669424e-05,0.7288054152026981,88
2017-07-11,0.0002313515688515052,0.7822822450744299,58
2017-07-12,-3.8770185740443195e-06,0.9085222185088291,129
2017-07-13,6.664010550613348e-05,0.6682073381397247,307
2017-07-14,0.0011148983144727198,0.017384962404860472,132
2017-07-17,0.0001308938225240375,0.719515939506054,57
2017-07-18,7.473112442447222e-05,0.8502135475566204,61
2017-07-19,-0.00020135281947735982,0.29804215316335786,118
2017-07-21,0.00024048688074319494,0.34657479224262444,73
2017-07-24,0.0008084710075525172,0.35627456693282744,81
2017-07-25,-2.9623862241393872e-05,0.8225693922244386,112
2017-07-26,6.193710473965048e-06,0.8993482663927657,121
2017-07-27,0.0005899733401372459,0.06081003471861242,100
2017-07-28,0.00019971675125849274,0.5942258813271745,45
2017-07-31,0.00013607020925119142,0.7136871604510584,40
2017-08-01,0.00018007363036057482,0.23264272627288773,124
2017-08-02,0.000137151569195397,0.356892303364708,83
2017-08-03,-4.480149386883983e-05,0.9371612043857391,46
2017-08-04,-0.0008247336503694634,0.5348733837835111,27
2017-08-08,0.000132654967164967,0.12350979539647863,124
2017-08-09,0.00014114835555396405,0.2870476251578392,118
2017-08-10,0.0001629487950232568,0.6993182760988745,122
2017-08-11,0.0008095578171921448,0.2961536471028904,50
2017-08-14,0.0007994581506625445,0.033832981844609096,47
2017-08-15,0.0004785974549118899,0.02418359407504389,167
2017-08-16,-2.971920110497609e-07,0.9974506672237036,188
2017-08-17,2.0368297963856903e-06,0.9706951112019084,151
2017-08-18,0.000681242414476966,0.414498927243686,62
2017-08-22,7.790174969556088e-05,0.5631193020042089,145
2017-08-23,0.00010451645129340561,0.5373187506676447,116
2017-08-24,-0.0006199364816923764,0.1413344246873641,77
2017-08-25,-1.0243973654835425e-05,0.9095547535135394,85
2017-08-28,-0.0009279426273038425,0.7932572754086268,18
2017-08-29,0.005001593949787345,0.002227007098090231,54
2017-08-30,0.0015127820603006378,0.5539908027091379,26
2017-08-31,-0.00014089200819611397,0.6783699780907353,54
